s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.0;-3.846674511851451;2.1732620867418664;0.8989436413569845;0.0;0.0;0.0
0.01567017258993495;-3.8569618846181433;2.161441584613891;0.8942793535487739;-0.29765388871380394;0.0;0.0
0.021403443289107545;-3.85203465532234;2.1643729331732695;0.8936627747720459;-0.10754398476543606;0.0;0.0
0.026953384316050058;-3.853406754445852;2.16975058967009;0.8939317410367311;0.04846290498934806;0.0;0.0
0.03141966975060196;-3.857435257023255;2.167822151813495;0.8917797067742163;-0.48183984074694014;0.0;0.0
0.05325682914509608;-3.8483945377952824;2.1876999516480216;0.8944475650165018;0.12217057145986693;0.15219894082431498;0.15201808358623797
0.8509122590717552;-3.339404182244351;2.801852215217586;0.889023416879668;-0.006800114351797882;0.9574027170158876;0.8072979022196693
1.7129915539978648;-2.9564991432480374;3.574228057571249;1.2340095765579087;0.40017915023444567;0.8151047662905826;-0.14515110170824191
2.466252385715665;-3.2708370866347027;4.2587669811889155;2.2470052418347524;1.3448139377786603;0.9714483076214598;0.15591415794844657
3.338138435035412;-4.140995855831387;4.313621328222743;-2.911383753148212;1.2900726110644825;0.9723693299562515;0.0009048624131644691
4.405066786795908;-4.957664024543348;3.627043430236635;-2.471697431339709;0.41210482511125873;0.9967764218282293;0.024410205489859903
5.330620834011022;-5.654416963298041;3.0177933693806867;-2.4547331053200403;0.01832883349244975;0.9981579553304167;0.001381036641613578
6.278425084012669;-6.367485477254869;2.3934007118929594;-2.4289487188747114;0.027204337230270978;1.0792079207920793;0.08109793622863204
7.246258964877391;-6.887292666043304;1.577004418764718;-1.6785156076625989;0.7753738798042797;1.0766751093714022;-0.0025271044587036814
8.368719543587314;-6.600956527932937;0.4916798743219713;-1.1270066786798625;0.49133924116658234;1.1195026479392125;0.04287854131883637
9.464689854154077;-5.567552504797456;0.1266770707557427;0.058376741035288865;1.0815835139750738;1.137692839051347;0.01820235985742339
10.555469117423954;-4.941208237531865;1.019701292175914;1.0393933921550784;0.8993722966266828;1.2380842735436335;0.1001772894096109
11.745566013190363;-4.1371728728008765;1.8971166747483603;0.8333532839112355;-0.17312885108498263;1.2040064471563436;-0.03415538296577487
12.956920429703935;-3.3233430990675448;2.7943683795626173;0.8300644548887408;-0.0027150014708002454;1.2820630900299332;0.0778643908024117
14.083498982369777;-2.823022158448675;3.803753435775019;1.4454384040995716;0.5462326153419669;1.2069997697444164;-0.07527226914321399
15.132643420644925;-3.619268980818337;4.486904261164181;2.839559968015622;1.3288175708275811;1.1938752014736358;-0.01310194609232126
16.377432593810042;-4.815851406574296;4.143843648442347;-2.8187599450805934;0.5019849204620972;1.2769974671885793;0.08325323018790012
17.63340216769683;-5.777921040086789;3.336451803795338;-2.3073234793891246;0.40720450266064234;1.2717015887635275;-0.005395987712273423
18.802685321158712;-6.478676650342227;2.4004151230689414;-2.2033105667858073;0.08895442673176952;1.2661754547547779;-0.005427426448000536
19.99110162118541;-6.860777253069976;1.2751007529641976;-1.6255842864019565;0.4861312322717824;1.2882799907897766;0.022510779461750414
21.281990553950898;-6.0402398626516565;0.2785503891280757;-0.39233321828392875;0.9553502526944908;1.367487911581856;0.07777406311778833
22.528443912659995;-4.968495762692953;0.9149547885793213;0.8050961356162334;0.9606692023681431;1.3642643334100852;-0.003216499930813063
23.835546315237515;-4.059694476770729;1.8544210804333914;0.8137253816980151;0.006601813342830235;1.3350218742804514;-0.029333614738407184
24.48349396586571;-3.621568453253304;2.331790691396849;0.8336929754215435;0.030816677403135286;0.0;-1.3348665648694844
24.489020888452544;-3.6203289942737062;2.3371768416657117;0.8354300137602803;0.31428671407014774;0.0;0.0
24.495265774362377;-3.621826816349365;2.3311142408165306;0.8338397520639373;-0.2546502401011224;0.0;0.0
24.501231154736807;-3.616817809443443;2.334353934139684;0.8360247166560499;0.3662741443072979;0.0;0.0
